timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
671179.623,126.953,-455.566,-33.691,35.645,671179.625,-0.015
671179.627,12.695,-403.809,-31.738,18.555,671179.625,-0.011
671179.631,18.066,-609.863,-28.809,26.855,671179.625,-0.007
671179.635,116.211,-422.363,-33.203,39.062,671179.625,-0.003
671179.639,116.211,-390.625,-35.645,37.598,671179.625,0.001
671179.643,8.301,-704.590,-34.180,22.949,671179.625,0.005
671179.647,-17.578,-853.516,-31.738,18.066,671179.625,0.009
671179.651,87.402,-940.918,-23.438,56.152,671179.625,0.013
671179.655,146.973,-799.805,-25.879,59.570,671179.625,0.017
671179.659,76.172,-458.984,-35.156,25.879,671179.625,0.021
671179.662,22.461,-376.465,-34.668,25.879,671179.625,0.024
671179.666,89.355,-446.289,-25.391,46.387,671179.625,0.028
671179.670,157.227,-659.668,-24.414,68.848,671179.688,0.003
671179.674,100.586,-692.383,-23.926,68.848,671179.688,0.007
671179.678,3.418,-639.648,-19.043,47.852,671179.688,0.011
671179.682,35.645,-444.336,-16.113,45.898,671179.688,0.015
671179.686,122.559,-353.516,-16.113,72.754,671179.688,0.019
671179.690,110.840,-761.719,-23.438,84.961,671179.688,0.023
671179.694,22.461,-877.441,-16.113,66.406,671179.688,0.027
671179.698,7.324,-494.141,-1.465,41.504,671179.688,0.031
671179.701,100.586,-363.281,-0.977,62.500,671179.750,-0.028
671179.705,119.629,-339.844,-3.906,69.336,671179.750,-0.024
671179.709,3.906,-738.770,-5.859,56.641,671179.750,-0.020
671179.713,-36.621,-872.070,-5.371,42.480,671179.750,-0.016
671179.717,55.176,-447.754,-7.812,28.809,671179.688,0.025
671179.721,114.258,-409.668,-18.066,41.992,671179.688,0.029
671179.725,44.922,-399.902,-18.555,28.320,671179.750,-0.030
671179.729,-37.109,-617.188,-12.207,9.277,671179.750,-0.026
671179.733,22.949,-748.047,-21.484,16.113,671179.750,-0.022
671179.737,122.559,-748.535,-20.996,35.645,671179.750,-0.018
671179.741,90.332,-925.781,-9.277,35.156,671179.750,-0.014
671179.744,7.324,-838.867,-9.766,14.648,671179.750,-0.010
671179.748,41.016,-892.578,-12.695,24.902,671179.750,-0.006
671179.752,139.648,-810.059,-17.090,44.434,671179.750,-0.002
671179.756,137.207,-429.199,-22.949,34.668,671179.750,0.002
671179.760,47.363,-386.230,-24.414,19.531,671179.750,0.005
671179.764,36.621,-290.527,-28.320,15.625,671179.750,0.001
671179.768,114.746,-471.680,-23.926,48.340,671179.750,0.005
671179.772,112.793,-867.188,-23.438,66.406,671179.750,0.009
671179.776,8.789,-704.102,-27.344,38.574,671179.750,0.013
671179.780,-46.875,-466.797,-26.855,25.391,671179.750,0.016
671179.784,20.508,-659.668,-26.855,49.316,671179.750,0.020
671179.787,85.938,-893.555,-29.785,63.477,671179.750,0.024
671179.791,19.043,-1000.000,-25.879,73.242,671179.750,0.028
671179.795,-62.988,-848.145,-24.902,48.340,671179.812,-0.030
671179.799,-6.836,-420.898,-28.809,20.020,671179.812,-0.026
671179.803,91.797,-264.648,-27.344,47.363,671179.812,-0.023
671179.807,60.547,-411.621,-25.879,56.641,671179.812,-0.019
671179.811,-38.574,-761.719,-16.602,42.480,671179.812,-0.002
671179.815,-24.902,-596.680,-19.531,29.297,671179.812,0.002
671179.819,73.730,-372.070,-20.996,46.387,671179.812,0.006
671179.823,80.566,-377.930,-16.113,47.852,671179.812,0.010
671179.826,-8.789,-380.371,-22.949,23.438,671179.812,0.014
671179.830,-13.672,-706.055,-23.438,29.785,671179.812,0.018
671179.834,84.473,-804.199,-22.949,47.852,671179.812,0.022
671179.838,118.652,-747.559,-26.855,43.945,671179.812,0.026
671179.842,36.621,-561.523,-29.785,13.184,671179.812,0.030
671179.846,-24.902,-333.008,-28.809,1.465,671179.875,-0.029
671179.850,29.785,-736.328,-22.949,31.250,671179.875,-0.025
671179.854,94.238,-854.492,-25.391,47.363,671179.875,-0.021
671179.858,33.203,-490.723,-32.715,23.438,671179.875,-0.025
671179.862,-62.988,-389.160,-29.297,3.906,671179.875,-0.021
671179.866,-35.156,-290.039,-24.902,16.602,671179.875,-0.017
671179.869,46.387,-687.500,-18.555,58.105,671179.875,-0.013
671179.873,21.484,-879.883,-24.902,56.152,671179.875,-0.009
671179.877,-72.754,-740.723,-26.367,24.414,671179.875,-0.005
671179.881,-62.988,-707.520,-22.949,19.531,671179.875,-0.001
671179.885,35.645,-356.445,-24.902,25.391,671179.875,0.003
671179.889,39.551,-659.668,-18.066,46.387,671179.875,0.007
671179.893,-45.410,-911.133,-20.020,28.320,671179.875,0.011
671179.897,-55.176,-473.145,-25.879,0.000,671179.875,0.014
671179.901,39.551,-318.359,-27.832,18.066,671179.875,0.018
671179.905,93.750,-261.230,-29.785,26.367,671179.938,-0.027
671179.909,15.625,-636.230,-20.996,24.414,671179.938,-0.023
671179.912,-57.129,-842.773,-14.648,7.812,671179.938,-0.019
671179.916,5.371,-364.746,-20.508,7.324,671179.938,-0.015
671179.920,80.566,-289.551,-20.020,27.832,671179.938,-0.011
671179.924,32.227,-561.523,-20.996,27.832,671179.938,-0.007
671179.928,-70.801,-885.254,-27.344,11.230,671179.938,-0.004
671179.932,-62.988,-959.961,-25.879,10.254,671179.938,0.000
671179.936,22.949,-574.219,-26.855,16.602,671179.938,0.004
671179.940,-12.695,-381.836,-28.809,21.484,671179.938,0.008
671179.944,-138.184,-314.453,-26.855,3.418,671179.938,0.012
671179.948,-151.855,-441.406,-27.832,2.930,671179.938,0.016
671179.951,-53.223,-596.680,-24.902,33.691,671179.938,0.013
671179.955,-24.414,-332.520,-23.438,31.738,671179.938,0.017
671179.959,-106.934,-301.270,-26.367,12.695,671179.938,0.021
671179.963,-136.230,-318.848,-26.855,2.930,671179.938,0.025
671179.967,-34.668,-449.707,-29.785,18.066,671179.938,0.029
671179.971,26.367,-807.617,-31.738,37.598,671180.000,-0.030
671179.975,-50.781,-914.062,-25.879,19.043,671180.000,-0.026
671179.979,-119.141,-657.227,-23.926,-3.418,671180.000,-0.022
671179.983,-59.570,-437.988,-27.344,10.254,671180.000,-0.018
671179.987,18.066,-626.953,-26.855,29.785,671180.000,-0.014
671179.991,-32.227,-916.992,-24.414,30.762,671180.000,-0.010
671179.994,-119.141,-715.332,-25.391,6.836,671180.000,-0.006
671179.998,-77.148,-277.832,-25.391,1.465,671180.000,-0.010
671180.002,40.527,-235.840,-20.508,30.273,671180.000,-0.006
671180.006,52.734,-410.156,-20.020,33.691,671180.000,-0.002
671180.010,-25.879,-600.098,-23.926,10.742,671180.000,0.002
671180.014,-22.949,-485.840,-26.855,4.395,671180.000,0.006
671180.018,64.941,-603.516,-25.391,35.156,671180.000,0.010
671180.022,84.473,-825.684,-26.367,54.688,671180.000,0.014
